order_details_id,order_id,pizza_id,quantity
357,146,hawaiian_m,1
358,147,the_greek_xl,1
359,148,mediterraneo_s,1
360,149,spinach_fet_m,1
361,150,pepperoni_m,1
362,151,southw_ckn_l,1
363,151,spinach_supr_s,1
364,152,hawaiian_s,1
365,152,spinach_fet_l,1
366,152,thai_ckn_s,1
367,152,the_greek_m,1
368,153,mexicana_m,1
369,154,prsc_argla_s,1
370,155,ckn_pesto_s,1
371,155,napolitana_l,1
372,155,pepperoni_l,1
373,155,peppr_salami_l,1
374,156,napolitana_m,1
375,156,thai_ckn_l,1
376,157,ital_supr_l,1
377,157,mediterraneo_m,1
378,157,sicilian_m,1
379,157,spin_pesto_m,1
380,158,ital_veggie_m,1
381,158,thai_ckn_m,1
382,159,four_cheese_l,1
383,159,thai_ckn_m,1
384,160,classic_dlx_m,1
385,161,hawaiian_s,1
386,161,spicy_ital_m,1
387,161,the_greek_xl,1
388,162,big_meat_s,1
389,163,hawaiian_m,1
390,163,pepperoni_l,1
391,163,the_greek_m,1
392,164,cali_ckn_l,1
393,164,pepperoni_m,1
394,165,prsc_argla_m,1
395,166,prsc_argla_s,1
396,167,bbq_ckn_l,1
397,167,ital_supr_m,1
398,167,pepperoni_m,1
399,168,big_meat_s,1
400,168,veggie_veg_m,1
401,169,four_cheese_l,1
402,169,ital_cpcllo_s,1
403,169,sicilian_m,1
404,170,hawaiian_l,1
405,171,napolitana_m,1
406,172,napolitana_s,1
407,172,spinach_supr_m,1
408,172,thai_ckn_l,1
409,173,cali_ckn_m,1
410,173,classic_dlx_m,1
411,173,veggie_veg_l,1
412,174,big_meat_s,1
413,174,cali_ckn_l,1
414,174,cali_ckn_m,1
415,174,ital_cpcllo_m,1
416,175,ital_supr_l,1
417,176,cali_ckn_l,1
418,176,peppr_salami_m,1
419,177,napolitana_s,1
420,177,thai_ckn_l,1
421,178,peppr_salami_l,1
422,179,hawaiian_l,1
423,179,sicilian_m,1
424,179,veggie_veg_s,1
425,180,classic_dlx_l,1
426,180,prsc_argla_l,1
427,181,mexicana_l,1
428,182,brie_carre_s,1
429,182,peppr_salami_l,1
430,183,napolitana_m,1
431,183,spin_pesto_l,1
432,183,spin_pesto_s,1
433,184,hawaiian_l,1
434,185,sicilian_m,1
435,185,spin_pesto_s,1
436,186,mexicana_l,1
437,186,southw_ckn_l,1
438,186,spin_pesto_l,1
439,186,thai_ckn_l,1
440,187,five_cheese_l,1
441,187,spin_pesto_l,1
442,188,five_cheese_l,1
443,188,pepperoni_s,1
444,188,peppr_salami_l,1
445,189,big_meat_s,2
446,189,thai_ckn_s,1
447,190,bbq_ckn_l,1
448,190,four_cheese_m,1
449,190,pep_msh_pep_s,1
450,190,prsc_argla_l,1
451,191,cali_ckn_l,1
452,191,ckn_alfredo_m,1
453,192,sicilian_s,1
454,192,southw_ckn_l,1
455,193,big_meat_s,1
456,193,cali_ckn_m,1
457,193,ckn_alfredo_l,2
458,194,bbq_ckn_s,1
459,195,bbq_ckn_l,1
460,196,sicilian_s,1
461,196,spicy_ital_m,1
462,196,veggie_veg_m,1
463,197,four_cheese_l,1
464,197,ital_cpcllo_l,1
465,197,ital_veggie_l,1
466,197,soppressata_l,1
467,198,big_meat_s,1
468,198,ckn_alfredo_l,1
469,199,ckn_alfredo_m,1
470,200,the_greek_xl,1
471,201,calabrese_m,1
472,201,ckn_pesto_l,1
473,201,ital_supr_l,1
474,201,the_greek_xl,1
475,202,cali_ckn_s,1
476,203,cali_ckn_l,1
477,203,ital_veggie_m,1
478,203,pep_msh_pep_l,1
479,203,the_greek_s,1
480,204,spicy_ital_l,1
481,205,cali_ckn_s,1
482,205,ckn_alfredo_m,1
483,205,prsc_argla_s,1
484,206,napolitana_m,1
485,206,pepperoni_s,1
486,206,spicy_ital_l,1
487,207,spicy_ital_l,1
488,208,bbq_ckn_l,1
489,208,bbq_ckn_s,1
490,208,ckn_alfredo_m,1
491,208,pepperoni_m,1
492,208,the_greek_m,1
493,209,cali_ckn_l,1
494,210,spinach_fet_s,1
495,211,pepperoni_s,1
496,212,ital_cpcllo_l,1
497,213,four_cheese_l,1
498,214,ital_cpcllo_l,1
499,214,ital_supr_m,1
500,214,mexicana_s,1
501,214,spin_pesto_m,1
502,215,green_garden_s,1
503,216,bbq_ckn_m,1
504,216,five_cheese_l,1
505,216,hawaiian_l,1
506,217,classic_dlx_m,1
507,217,spinach_fet_s,1
508,218,spicy_ital_m,1
509,219,bbq_ckn_l,1
510,219,five_cheese_l,1
511,219,peppr_salami_m,1
512,219,spinach_fet_m,1
513,220,hawaiian_s,1
514,220,ital_cpcllo_s,1
515,220,napolitana_l,1
516,220,spicy_ital_l,1
517,221,five_cheese_l,1
518,221,prsc_argla_m,1
519,221,the_greek_s,1
520,222,four_cheese_l,1
521,222,sicilian_s,1
522,223,pep_msh_pep_s,1
523,224,ckn_alfredo_s,1
524,224,ital_supr_m,1
525,224,napolitana_m,1
526,224,thai_ckn_l,1
527,225,bbq_ckn_l,1
528,225,bbq_ckn_m,1
529,225,southw_ckn_s,1
530,226,classic_dlx_l,1
531,227,bbq_ckn_m,1
2446,1088,the_greek_xl,1
2447,1089,big_meat_s,1
2448,1089,ckn_pesto_l,1
2449,1089,spin_pesto_m,1
2450,1090,bbq_ckn_l,1
2451,1090,cali_ckn_m,1
2452,1090,hawaiian_l,1
2453,1090,ital_supr_s,1
2454,1090,ital_veggie_m,1
2455,1090,ital_veggie_s,1
2456,1090,napolitana_l,1
2457,1091,pepperoni_s,1
2458,1092,bbq_ckn_l,1
2459,1092,cali_ckn_s,1
2460,1092,hawaiian_s,1
2461,1093,classic_dlx_m,1
2462,1093,ital_supr_m,1
2463,1093,napolitana_l,1
2464,1093,pepperoni_l,1
2465,1093,prsc_argla_s,1
2466,1094,brie_carre_s,1
2467,1094,ckn_pesto_l,1
2468,1095,cali_ckn_s,1
2469,1095,four_cheese_l,1
2470,1096,ckn_pesto_l,1
2471,1096,five_cheese_l,1
2472,1096,four_cheese_l,2
2473,1096,mediterraneo_l,1
2474,1096,mediterraneo_s,1
2475,1096,napolitana_l,2
2476,1096,napolitana_m,1
2477,1096,pep_msh_pep_l,1
2478,1096,prsc_argla_l,1
2479,1096,soppressata_l,1
2480,1096,spicy_ital_l,2
2481,1096,veggie_veg_l,1
2482,1097,bbq_ckn_l,1
2483,1098,napolitana_l,1
2484,1098,the_greek_l,1
2485,1099,ital_supr_m,1
2486,1099,mediterraneo_s,1
2487,1100,ckn_alfredo_m,1
2488,1100,green_garden_s,1
2489,1100,mexicana_l,1
2490,1100,napolitana_m,1
2491,1100,thai_ckn_l,1
2492,1101,cali_ckn_l,1
2493,1102,ital_cpcllo_s,1
2494,1103,the_greek_s,1
2495,1104,cali_ckn_m,1
2496,1104,ckn_pesto_s,1
2497,1104,green_garden_s,1
2498,1104,ital_veggie_m,1
2499,1105,calabrese_m,1
2500,1105,ckn_alfredo_m,1
2501,1105,thai_ckn_l,1
2502,1106,sicilian_l,1
2503,1107,soppressata_m,1
2504,1108,sicilian_l,1
2505,1109,pep_msh_pep_l,1
2506,1109,pepperoni_l,1
2507,1110,hawaiian_l,1
2508,1110,spinach_fet_m,1
2509,1111,ital_supr_m,1
2510,1112,ckn_alfredo_s,1
2511,1112,hawaiian_l,1
2512,1112,spinach_fet_m,1
2513,1112,the_greek_xl,1
2514,1113,big_meat_s,1
2515,1113,hawaiian_m,1
2516,1114,big_meat_s,1
2517,1114,five_cheese_l,1
2518,1115,sicilian_s,1
2519,1115,thai_ckn_m,1
2520,1116,classic_dlx_s,1
2521,1116,prsc_argla_l,1
2522,1116,spicy_ital_l,1
2523,1116,spin_pesto_l,1
2524,1117,cali_ckn_m,1
2525,1118,spinach_fet_m,1
2526,1119,big_meat_s,1
2527,1119,ital_cpcllo_l,1
2528,1120,four_cheese_m,1
2529,1120,pep_msh_pep_l,1
2530,1121,big_meat_s,1
2531,1121,the_greek_xl,1
2532,1122,classic_dlx_s,1
2533,1122,southw_ckn_l,1
2534,1122,spinach_fet_l,1
2535,1122,thai_ckn_s,1
2536,1123,bbq_ckn_m,1
2537,1123,hawaiian_s,1
2538,1124,calabrese_m,1
2539,1124,ital_cpcllo_m,1
2540,1125,hawaiian_s,1
2541,1125,mexicana_l,1
2542,1126,southw_ckn_s,1
2543,1127,classic_dlx_l,1
2544,1127,pep_msh_pep_s,1
2545,1127,veggie_veg_s,1
2546,1128,cali_ckn_m,1
2547,1128,thai_ckn_l,1
2548,1129,cali_ckn_m,1
2549,1129,hawaiian_l,1
2550,1129,pep_msh_pep_s,1
2551,1130,five_cheese_l,1
2552,1130,ital_supr_l,1
2553,1131,green_garden_l,1
2554,1131,pepperoni_m,1
2555,1132,cali_ckn_s,1
2556,1132,five_cheese_l,1
2557,1132,four_cheese_l,1
2558,1132,pepperoni_s,1
2559,1133,ital_cpcllo_l,1
2560,1133,napolitana_l,1
2561,1133,pep_msh_pep_l,1
2562,1133,the_greek_m,1
2563,1134,pep_msh_pep_s,1
2564,1135,pepperoni_l,1
2565,1136,ital_supr_l,1
2566,1136,thai_ckn_m,1
2567,1136,veggie_veg_s,1
2568,1137,soppressata_l,1
2569,1137,veggie_veg_m,1
2570,1138,mexicana_l,1
2571,1139,ital_supr_s,1
2572,1139,sicilian_s,1
2573,1139,spicy_ital_l,1
2574,1139,the_greek_s,1
2575,1140,ital_cpcllo_l,1
2576,1140,ital_veggie_m,1
2577,1140,mexicana_m,1
2578,1140,pepperoni_m,1
2579,1140,the_greek_xl,1
2580,1141,spinach_fet_m,1
2581,1142,sicilian_l,2
2582,1143,big_meat_s,1
2583,1143,five_cheese_l,1
2584,1143,ital_supr_l,1
2585,1144,mexicana_l,1
2586,1144,prsc_argla_m,1
2587,1145,ckn_pesto_s,1
2588,1145,mediterraneo_m,1
2589,1145,spicy_ital_m,1
2590,1145,spinach_supr_m,1
2591,1146,spinach_supr_m,1
2592,1147,soppressata_s,1
2593,1148,big_meat_s,1
2594,1148,ital_supr_m,1
2595,1149,green_garden_m,1
2596,1149,prsc_argla_l,1
2597,1150,cali_ckn_s,1
2598,1150,ckn_pesto_s,1
2599,1150,classic_dlx_m,1
2600,1150,classic_dlx_s,1
2601,1150,five_cheese_l,1
2602,1150,green_garden_m,2
2603,1150,ital_supr_l,1
2604,1150,napolitana_m,1
2605,1150,napolitana_s,1
2606,1150,soppressata_l,1
2607,1150,southw_ckn_m,2
2608,1150,thai_ckn_s,1
2609,1151,four_cheese_l,1
2610,1152,ckn_alfredo_m,1
2611,1153,big_meat_s,1
2612,1153,classic_dlx_l,1
2613,1153,five_cheese_l,1
2614,1153,ital_cpcllo_l,1
2615,1153,ital_supr_s,1
2616,1153,napolitana_l,1
4495,1999,calabrese_m,1
4496,1999,ital_cpcllo_l,1
4497,1999,ital_supr_m,1
4498,1999,ital_veggie_m,1
4499,1999,napolitana_l,1
4500,1999,pep_msh_pep_s,1
4501,1999,spicy_ital_m,1
4502,1999,thai_ckn_l,1
4503,2000,bbq_ckn_m,1
4504,2000,big_meat_s,2
4505,2000,calabrese_m,1
4506,2000,four_cheese_l,1
4507,2000,pep_msh_pep_m,1
4508,2000,pepperoni_s,2
4509,2000,soppressata_l,1
4510,2000,spin_pesto_l,1
4511,2000,thai_ckn_l,1
4512,2000,veggie_veg_l,2
4513,2000,veggie_veg_s,1
4514,2001,calabrese_m,1
4515,2001,calabrese_s,1
4516,2001,four_cheese_l,1
4517,2001,ital_cpcllo_l,1
4518,2002,big_meat_s,1
4519,2002,ital_supr_l,1
4520,2002,spinach_fet_l,1
4521,2003,green_garden_m,1
